Xn,F(Xn),F'(Xn),Xn+1,Error
(-4.967045502886676+0j),(-10.957366291506588+0j),(1677.5039110627397+0j),(-4.960513556094036+0j),(0.006531946792639687+0j)
(-4.960513556094036+0j),(-10.753523200340801+0j),(1672.6694063655905+0j),(-4.954084596994637+0j),(0.006428959099399556+0j)
(-4.954084596994637+0j),(-10.55380077042768+0j),(1667.9178755208836+0j),(-4.947757066769486+0j),(0.006327530225150646+0j)
(-4.947757066769486+0j),(-10.35810611352608+0j),(1663.2478470599115+0j),(-4.94152942839807+0j),(0.006227638371416155+0j)
(-4.94152942839807+0j),(-10.166348694273301+0j),(1658.6578770121803+0j),(-4.935400166399456+0j),(0.00612926199861441+0j)
(-4.935400166399456+0j),(-9.978440264243208+0j),(1654.1465483525924+0j),(-4.929367786575442+0j),(0.00603237982401339+0j)
(-4.929367786575442+0j),(-9.79429479799419+0j),(1649.7124704607133+0j),(-4.923430815755758+0j),(0.005936970819684362+0j)
(-4.923430815755758+0j),(-9.613828431044062+0j),(1645.3542785918373+0j),(-4.917587801545303+0j),(0.005843014210454633+0j)
(-4.917587801545303+0j),(-9.436959399710677+0j),(1641.0706333595813+0j),(-4.911837312073445+0j),(0.005750489471858522+0j)
(-4.911837312073445+0j),(-9.263607982759416+0j),(1636.8602202297268+0j),(-4.906177935745355+0j),(0.005659376328089216+0j)
(-4.906177935745355+0j),(-9.093696444800337+0j),(1632.7217490250562+0j),(-4.9006082809954075+0j),(0.005569654749947972+0j)
(-4.9006082809954075+0j),(-8.927148981379805+0j),(1628.6539534409158+0j),(-4.895126976042616+0j),(0.0054813049527915325+0j)
(-4.895126976042616+0j),(-8.763891665713276+0j),(1624.6555905712626+0j),(-4.889732668648129+0j),(0.005394307394486653+0j)
(-4.889732668648129+0j),(-8.603852397007259+0j),(1620.725440444945+0j),(-4.884424025874776+0j),(0.005308642773353078+0j)
(-4.884424025874776+0j),(-8.446960850320846+0j),(1616.8623055719777+0j),(-4.879199733848664+0j),(0.005224292026111854+0j)
(-4.879199733848664+0j),(-8.29314842791825+0j),(1613.0650104995843+0j),(-4.874058497522826+0j),(0.005141236325838072+0j)
(-4.874058497522826+0j),(-8.142348212065444+0j),(1609.3324013777712+0j),(-4.868999040442925+0j),(0.005059457079901186+0j)
(-4.868999040442925+0j),(-7.994494919225983+0j),(1605.6633455342171+0j),(-4.864020104515004+0j),(0.004978935927921313+0j)
(-4.864020104515004+0j),(-7.849524855611761+0j),(1602.0567310582578+0j),(-4.859120449775295+0j),(0.004899654739708659+0j)
(-4.859120449775295+0j),(-7.707375874046859+0j),(1598.511466393763+0j),(-4.854298854162074+0j),(0.004821595613220708+0j)
